pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,woba,xwoba
605483,"Snell, Blake",2020,L,1264,139,54,1.1240687477277542,6.524639715444315,-0.2625491928901522,4.63741960606461,Starter,11,0,872,203,30.541871921182267,8.866995073891626,33.734939759036145,9.836065573770492,36.885245901639344,0.31090147783251226,0.3096316732673267
572971,"Keuchel, Dallas",2020,L,1016,145,49,1.4501025428270855,6.176247201007122,-0.0655987085070248,4.4245716014568375,Starter,11,0,960,258,16.27906976744186,6.5891472868217065,23.787528868360276,4.040404040404041,31.313131313131315,0.2461472868217054,0.3168653031496063
641582,"Foster, Matt",2020,R,419,145,55,-0.9542316279866908,6.124502073482558,0.2817883948604393,4.370510204061987,Reliever,2,21,436,109,28.440366972477065,8.256880733944955,30.33175355450237,11.594202898550725,39.130434782608695,0.2237247706422018,0.32406758333333335
607536,"Freeland, Kyle",2020,L,634,115,28,2.1939924373826147,5.627824593180912,0.1275240734463395,4.524517808926311,Starter,13,0,1124,304,15.131578947368421,7.565789473684211,20.54263565891473,5.603448275862069,35.775862068965516,0.3348552631578947,0.3435675973597359
547888,"Tanaka, Masahiro",2020,R,787,147,40,-1.6540261515531451,5.379111804840093,0.0706102008490239,3.92267861217821,Starter,10,0,769,198,21.71717171717172,4.040404040404041,29.72292191435768,9.090909090909092,37.06293706293706,0.31722727272727275,0.30948149999999996
452657,"Lester, Jon",2020,L,1003,112,37,2.059220992832177,5.7059634036923885,0.189697255314049,4.314384759048071,Starter,12,0,1008,265,15.849056603773585,6.415094339622642,18.120805369127517,12.31527093596059,38.91625615763547,0.3317924528301887,0.3626936212121212
621107,"Eflin, Zach",2020,R,905,143,31,-2.298769675635256,5.6660361622490925,-0.2209771963295614,4.418512557070541,Starter,10,1,913,245,28.163265306122447,6.122448979591836,23.981900452488688,7.547169811320755,32.70440251572327,0.32388163265306125,0.2828831604938272
444468,"Rondón, Héctor",2020,R,357,109,43,-1.6013226331115265,5.742175274423926,0.1683830890310669,4.090057169538938,Reliever,0,23,390,95,24.210526315789473,9.473684210526317,19.12568306010929,14.516129032258066,43.54838709677419,0.4121052631578947,0.3552393894736842
545333,"Bauer, Trevor",2020,R,1262,113,41,-1.7247438963358477,5.642644757744328,-0.0441575921709268,4.177755047809553,Starter,11,0,1165,277,36.101083032490976,5.776173285198556,30.185185185185187,6.329113924050633,37.9746835443038,0.22700361010830322,0.22463287003610108
456501,"Cueto, Johnny",2020,R,945,137,33,-2.188324982482968,5.484431085803862,-0.2037208941194323,4.213176853823681,Starter,12,0,1145,277,20.216606498194945,9.386281588447654,19.884169884169882,5.729166666666666,33.85416666666667,0.32380866425992777,0.33595423636363636
608566,"Márquez, Germán",2020,R,933,115,37,-1.7997425708896546,6.202786865031952,0.0940987567728542,4.75686076527488,Starter,13,0,1226,344,21.22093023255814,7.267441860465117,26.28951747088186,4.878048780487805,40.243902439024396,0.29252906976744186,0.31516454678362577
621111,"Buehler, Walker",2020,R,1040,119,49,-1.297536484435781,5.770522453999631,0.1045462746149378,4.129440211777345,Starter,8,0,600,147,28.57142857142857,7.482993197278912,28.41726618705036,6.451612903225806,36.55913978494624,0.2608571428571429,0.28993308333333334
656186,"Altavilla, Dan",2020,R,355,135,29,-2.001183906390617,5.316501304592399,-0.0640768794563279,4.258270459064545,Reliever,0,22,363,89,26.96629213483146,13.48314606741573,31.61290322580645,9.433962264150944,39.62264150943396,0.3376966292134832,0.3646936179775281
656954,"Sheffield, Justus",2020,L,876,136,39,1.801912012304285,5.459611160769775,0.0645491120279577,4.050507846037825,Starter,10,0,880,234,20.51282051282051,8.547008547008547,19.638242894056848,3.7267080745341614,46.58385093167702,0.28225213675213673,0.3118256422413793
605242,"Fulmer, Michael",2020,R,523,116,39,-1.7149845159172077,6.136754440503931,0.0351190022234776,4.697509641399797,Starter,10,0,528,136,14.705882352941178,8.823529411764707,19.213973799126638,9.70873786407767,44.66019417475729,0.4367205882352941,0.41841175373134326
543548,"Milone, Tommy",2020,L,606,144,45,1.6117339896569502,6.062816081519992,0.0541227658243765,4.505702446880717,Starter,9,0,697,181,22.099447513812155,3.314917127071823,27.728613569321535,6.015037593984962,36.09022556390977,0.39248066298342543,0.33434498324022344
543037,"Cole, Gerrit",2020,R,1280,147,38,-1.6674146553129592,5.6301232231348886,0.1203207958003336,4.215612095247544,Starter,12,0,1203,288,32.63888888888889,5.902777777777778,34.17085427135678,9.142857142857142,44.57142857142857,0.2793472222222222,0.2738549929824562
664126,"Fairbanks, Pete",2020,R,553,139,57,-1.0641359145441025,6.782779405013452,0.3097799628709365,4.689533686077135,Reliever,2,25,490,118,33.05084745762712,11.864406779661017,37.552742616033754,4.838709677419355,43.54838709677419,0.2919745762711864,0.28075206896551724
543294,"Hendricks, Kyle",2020,R,1154,112,50,-1.3471920894194265,6.131489686531333,0.1973361817769369,4.261970064478307,Starter,12,0,1162,316,20.253164556962027,2.2151898734177213,24.870466321243523,4.545454545454546,31.818181818181817,0.26768987341772155,0.27374636655948553
664129,"Hartlieb, Geoff",2020,R,382,134,36,-1.9469717859419453,6.094445452865914,0.0324595603838274,4.668776605736297,Reliever,0,21,409,101,18.81188118811881,18.81188118811881,24.561403508771928,3.3333333333333335,31.666666666666664,0.3143960396039604,0.34027463366336635
621121,"McCullers Jr., Lance",2020,R,992,117,33,-2.1202988666167624,5.410906113690219,-0.2296748720728756,4.185556223472361,Starter,11,0,884,228,24.561403508771928,8.771929824561402,29.526462395543174,10.273972602739725,34.93150684931507,0.30566666666666664,0.32688245575221236
506433,"Darvish, Yu",2020,R,1238,112,45,-1.601622661235436,5.76290830340186,-0.1135395830664472,4.293810635431564,Starter,12,0,1153,296,31.41891891891892,4.391891891891892,31.993006993006993,6.417112299465241,34.22459893048128,0.24908783783783786,0.2691409149659864
425794,"Wainwright, Adam",2020,R,898,138,44,-1.6208912828649578,6.22985375563816,-0.0108573668172219,4.684549329995767,Starter,10,0,930,262,20.610687022900763,5.7251908396946565,24.065420560747665,6.282722513089005,36.64921465968586,0.277412213740458,0.3238856908396946
595014,"Treinen, Blake",2020,R,509,119,36,-2.0076488063347,6.336237510234816,0.0141839980747612,4.859830261025692,Reliever,0,27,396,107,20.5607476635514,6.5420560747663545,22.772277227722775,1.3333333333333335,32.0,0.2726542056074766,0.2758732358490566
596295,"Gomber, Austin",2020,L,507,138,61,0.6330955123992826,6.748271815640486,-0.4860296609932302,4.725751922869425,Reliever,4,10,526,119,22.689075630252102,12.605042016806722,26.45739910313901,2.666666666666667,33.33333333333333,0.2621764705882353,0.3087819411764706
607560,"Harper, Ryne",2020,R,373,120,46,-1.3269156179326975,6.142921718209345,0.1893426490450555,4.553439137640801,Reliever,0,23,408,108,23.14814814814815,6.481481481481481,20.418848167539267,9.333333333333334,34.66666666666667,0.36289814814814814,0.3337511111111111
605513,"Turnbull, Spencer",2020,R,864,116,27,-2.3911684783741927,5.688298198577273,-0.1986072406561531,4.572571153432047,Starter,11,0,963,241,21.16182572614108,11.618257261410788,28.162291169451077,6.25,43.75,0.2933029045643154,0.3541075378151261
621129,"Cody, Kyle",2020,R,353,140,44,-1.7313153234855128,6.466770202244812,0.0691233469453323,4.731520439333343,Starter,5,3,370,92,19.565217391304348,14.130434782608695,21.153846153846153,3.278688524590164,34.42622950819672,0.2697065217391304,0.28414720652173914
623433,"Anderson, Nick",2020,R,414,139,52,-1.1196772881001071,6.347340510630662,0.3053609365895819,4.546693424340077,Reliever,0,19,237,58,44.827586206896555,5.172413793103448,36.61971830985916,10.344827586206897,41.37931034482759,0.14281034482758623,0.22554194827586205
659275,"Lamet, Dinelson",2020,R,852,135,45,-1.5054289941849253,6.17251264749963,0.2370857936978675,4.432889237439261,Starter,12,0,1046,268,34.32835820895522,7.462686567164178,32.525252525252526,7.333333333333333,40.0,0.22389552238805965,0.25897749812734083
608331,"Fried, Max",2020,L,1152,144,52,1.2961746800981515,5.99001774671019,-0.2015245139737161,4.039316059966676,Starter,11,0,899,226,22.123893805309734,8.4070796460177,25.46728971962617,3.3112582781456954,23.841059602649008,0.2735663716814159,0.26258905429864254
675916,"Karinchak, James",2020,R,406,114,68,-0.3539473067536463,6.737664368785841,0.5338151603235337,4.571480092891387,Reliever,0,27,468,109,48.62385321100918,13.761467889908257,45.26315789473684,2.5,35.0,0.22911009174311925,0.2297772429906542
664141,"Brubaker, JT",2020,R,682,134,45,-1.4113621859132433,6.087968938506013,0.2872021924942049,4.388026093635895,Starter,9,2,804,206,22.815533980582526,8.25242718446602,27.247956403269757,8.02919708029197,32.846715328467155,0.32663592233009714,0.3212834926829268
