pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,xwoba
607536,"Freeland, Kyle",2022,L,2837,115,25,2.302610267505271,5.610547990024171,0.2367909866250469,4.657104884964857,Starter,31,0,2839,768,17.057291666666664,6.901041666666667,20.756115641215718,9.717314487632509,42.40282685512368,0.34728251308900526
656945,"Scott, Tanner",2022,L,1248,146,36,2.094245434095248,5.291478925851101,0.3136665171939988,4.018791191753507,Reliever,0,67,1273,288,31.25,15.625,35.67753001715266,5.369127516778524,32.88590604026846,0.31580670833333335
641329,"Baker, Bryan",2022,R,1181,110,57,-1.0047230590736296,6.55510532277644,0.3135236373296142,4.535778331076871,Reliever,2,64,1181,291,26.11683848797251,8.59106529209622,27.30696798493409,4.838709677419355,41.39784946236559,0.27984565172413794
643377,"Jax, Griffin",2022,R,1155,142,42,-1.4258150676086971,5.692528505239132,0.2157136301132023,4.219273683048977,Reliever,0,65,1157,288,27.083333333333332,5.902777777777778,29.557522123893804,6.878306878306878,37.03703703703704,0.27785363859649126
621107,"Eflin, Zach",2022,R,1331,143,31,-2.343540006809513,5.802516095554485,-0.2648311828453804,4.548004390102471,Starter,13,7,1194,314,20.70063694267516,4.45859872611465,22.105263157894736,6.140350877192982,31.140350877192986,0.2813873987138264
621363,"Poche, Colin",2022,L,962,139,59,1.054215117985713,6.243618874159775,-0.0372850662983016,4.43446763427352,Reliever,0,65,974,247,25.910931174089068,8.906882591093117,28.000000000000004,8.860759493670885,31.0126582278481,0.29218604489795913
456501,"Cueto, Johnny",2022,R,2372,145,33,-2.214653947552759,5.598430303348778,-0.2679669384049804,4.352832524731493,Starter,24,1,2372,653,15.620214395099541,4.747320061255743,17.59729272419628,7.254901960784315,35.88235294117647,0.31095873374613003
608566,"Márquez, Germán",2022,R,2838,115,34,-1.976053583777218,5.954261569905136,-0.0788937019115418,4.6658505517493145,Starter,31,0,2839,781,19.206145966709347,8.066581306017925,22.96243798724309,7.11743772241993,47.15302491103203,0.3264867577319588
621111,"Buehler, Walker",2022,R,1046,119,46,-1.4660220536052262,5.551433516447045,-0.0412682435080759,4.095947804129474,Starter,12,0,1046,274,21.16788321167883,6.204379562043796,24.807692307692307,6.598984771573605,41.62436548223351,0.3196928666666667
676664,"Sears, JP",2022,L,1078,133,22,2.184476177988019,4.913310198514933,0.2120984678168788,4.125506267052277,Starter,11,6,1079,289,17.647058823529413,7.612456747404845,19.919517102615693,8.962264150943396,43.39622641509434,0.3271909198606272
