"pitcher","pitcher_name","year","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
608337,"Giolito, Lucas",2022,"R",2752,145,57,-1.195879633224253,6.368246368066514,0.12917604710753222,4.341562532969055
657746,"Ryan, Joe",2022,"R",2318,142,26,-1.9267382438640834,5.033496976774598,0.04214573411370985,4.060219387179921
643410,"Leiter Jr., Mark",2022,"R",1086,112,50,-1.2629560812592644,5.735723739742394,0.09347992600690028,4.1336403766294705
672851,"Adon, Joan",2022,"R",1200,120,37,-1.8749101630640896,6.031884283284669,-0.07005999442959003,4.662899817513369
475479,"Phelps, David",2022,"R",1151,141,40,-1.6345744582113253,6.145548285366318,0.14382571289632684,4.635698746188309
571479,"Bellatti, Andrew",2022,"R",1057,143,28,-2.135076811075206,5.468450786649314,-0.21541857171526052,4.4364530512144595
666200,"Luzardo, Jesús",2022,"L",1563,146,36,1.8283719773404192,5.9000444066330795,-0.015865174096160853,4.563486645613869
608344,"Irvin, Cole",2022,"L",2607,133,42,1.9344056601917634,6.119002535910445,0.247559212889745,4.5751633974278745
596057,"Norris, Daniel",2022,"L",1010,116,35,2.1678316902356602,5.677794510067086,0.3876804464269958,4.431001198531615
666201,"Manoah, Alek",2022,"R",3027,141,38,-2.310891390128653,5.884298803750562,-0.34420645818648254,4.338031678735703
600921,"Machado, Andrés",2022,"R",991,120,36,-1.7370544633589498,5.425425657395643,0.029250968430671043,4.123522329306003
518489,"Brasier, Ryan",2022,"R",985,111,40,-1.750766319489748,5.712592887402882,-0.13234658269768465,4.359678230769927
623451,"Stephens, Jackson",2022,"R",971,144,42,-1.9392268327089293,6.1144873041098435,-0.211943551404271,4.558896512131674
445276,"Jansen, Kenley",2022,"R",1024,144,72,-0.26977369769162896,6.704388566795764,0.48170093086773064,4.448267750981786
642397,"Soto, Gregory",2022,"L",1088,116,31,2.284371130880363,5.481792933610896,0.27396042715214414,4.257920296771785
656222,"Beeks, Jalen",2022,"L",999,139,49,1.5489565954350242,6.1295027498791725,0.03953287405052111,4.399386098487082
669022,"Gore, MacKenzie",2022,"L",1257,135,50,1.3747607165171016,5.904585759347379,-0.0612614786074985,4.181162241394715
663903,"Singer, Brady",2022,"R",2376,118,32,-1.7684206899016237,5.399784929454923,0.010232148992899877,4.279635865300353
657248,"Otto Jr., Glenn",2022,"R",2217,140,43,-1.678115097995251,6.007970703271161,-0.09148986172317772,4.5399614352149955
605280,"Holmes, Clay",2022,"R",1061,147,43,-1.7638140023900912,6.340280665113705,0.01753953380341082,4.694737865179487
607074,"Rodón, Carlos",2022,"L",2985,137,49,1.476793742541892,6.514346466243824,-0.08129990376720207,4.732262878354931
